size of int array, time for copying into enclave (TE-seconds),TE-ms,TE-ns,time for copying to other untrusted memory region(TO-s),TO-ms,TO-ns,kb,mb
128512,0,0,467991,0,0,65658,502,0
128768,0,0,476624,0,0,65287,503,0
129024,0,0,477502,0,0,68772,504,0
129280,0,0,438263,0,0,48030,505,0
129536,0,0,422995,0,0,41946,506,0
129792,0,0,435202,0,0,49057,507,0
130048,0,0,472830,0,0,56681,508,0
130304,0,0,436757,0,0,49011,509,0
130560,0,0,433269,0,0,45017,510,0
130816,0,0,471943,0,0,57681,511,0
131072,0,0,459831,0,0,66955,512,0
131328,0,0,452583,0,0,67032,513,0
131584,0,0,465878,0,0,65608,514,0
131840,0,0,472963,0,0,63876,515,0
132096,0,0,500950,0,0,82872,516,0
132352,0,0,476554,0,0,68437,517,0
132608,0,0,454990,0,0,60247,518,0
132864,0,0,467658,0,0,96825,519,0
133120,0,0,529438,0,0,157453,520,0
133376,0,0,500876,0,0,73552,521,0
133632,0,0,496814,0,0,72608,522,0
133888,0,0,755181,0,0,123324,523,0
134144,0,0,582398,0,0,88224,524,0
134400,0,0,474765,0,0,69334,525,0
134656,0,0,484228,0,0,71821,526,0
134912,0,0,496136,0,0,70216,527,0
135168,0,0,505374,0,0,74140,528,0
135424,0,0,535724,0,0,76751,529,0
135680,0,1,1080735,0,0,184366,530,0
135936,0,0,509865,0,0,79760,531,0
136192,0,0,753453,0,0,62890,532,0
136448,0,0,432156,0,0,44479,533,0
136704,0,0,428862,0,0,38350,534,0
136960,0,0,431739,0,0,38610,535,0
137216,0,0,445609,0,0,41259,536,0
137472,0,0,443380,0,0,38949,537,0
137728,0,0,430219,0,0,38449,538,0
137984,0,0,433112,0,0,38579,539,0
138240,0,0,443239,0,0,41225,540,0
138496,0,0,435822,0,0,38825,541,0
138752,0,0,436375,0,0,38791,542,0
139008,0,0,439971,0,0,38905,543,0
139264,0,0,443167,0,0,41333,544,0
139520,0,0,467849,0,0,44168,545,0
139776,0,0,454438,0,0,48318,546,0
140032,0,0,454387,0,0,49755,547,0
140288,0,0,509484,0,0,73432,548,0
140544,0,0,581301,0,0,114351,549,0
140800,0,0,472538,0,0,72960,550,0
141056,0,0,606747,0,0,125477,551,0
141312,0,0,676391,0,0,84231,552,0
141568,0,0,472626,0,0,61448,553,0
141824,0,0,471710,0,0,56792,554,0
142080,0,0,493004,0,0,53378,555,0
142336,0,0,482580,0,0,56110,556,0
142592,0,0,489478,0,0,65578,557,0
142848,0,0,958722,0,0,352216,558,0
143104,0,0,504207,0,0,56081,559,0
143360,0,0,474208,0,0,47282,560,0
143616,0,0,455560,0,0,40263,561,0
143872,0,0,453887,0,0,40348,562,0
144128,0,0,471723,0,0,40717,563,0
144384,0,0,460719,0,0,42836,564,0
144640,0,0,467070,0,0,40426,565,0
144896,0,0,484569,0,0,41089,566,0
145152,0,0,454404,0,0,40945,567,0
145408,0,0,466985,0,0,42798,568,0
145664,0,0,482558,0,0,40903,569,0
145920,0,0,460672,0,0,41289,570,0
146176,0,0,462842,0,0,40866,571,0
146432,0,0,496455,0,0,42911,572,0
146688,0,0,469915,0,0,41147,573,0
